Record ID,Last Activity Date,State,Deal Stage,Close Date,Amount,Date of last meeting booked in meetings tool,Pipeline,Associated Product,Products,LMS,Associated Product IDs
15560890941,8/27/2024 11:15,Texas,Demo,,,,Texas,,,,
20922667087,8/27/2024 10:34,,Contract Issued,,2388,,VA,,CCR: Career &College,,
18247420232,8/27/2024 10:11,Missouri,Closed Lost ,8/27/2024 10:11,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
17870243724,8/27/2024 9:58,District of Columbia,Late Stage Meeting,,,,"Mid Atlantic (MD, DE, DC)",,,,
19095071861,8/27/2024 9:57,New York,Contract Issued ,,4800,,NYC Schools ,,IEP/SPED,Google Classroom,
21675621457,8/27/2024 9:52,,Demo,,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
19093252937,8/27/2024 9:51,Pennsylvania,Demo,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
20079843663,8/27/2024 9:45,Tennessee,Late Stage Meeting,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
20036529411,8/27/2024 9:02,New York,Contract Issued ,,2388,,NYC Schools ,,CCR: Career &College,Google Classroom,
21257331272,8/27/2024 9:01,,Demo,,,,"South West (NM, AZ, OK, KS)",,,,
21644641099,8/27/2024 8:00,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
21587899970,8/27/2024 8:00,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
21256809614,8/27/2024 8:00,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
20974320191,8/27/2024 8:00,,Late Stage Meeting ,,,,"Rocky Mountain (CO, UT, NV, ID, WY, MT)",,,,
20686405038,8/27/2024 8:00,,Contract Issued ,,2388,,NYC Schools ,,IEP/SPED,Google Classroom,
20616235930,8/27/2024 8:00,,Demo,,,,"South (LA, AR, AL, MS)",,,,
20173415744,8/27/2024 8:00,Arizona,Demo,,,,"South West (NM, AZ, OK, KS)",,,,
19929795716,8/27/2024 8:00,Florida,Late Stage Meeting,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
19768198658,8/27/2024 8:00,New York,Contract Issued ,,4776,,NYC Schools ,,IEP/SPED,Google Classroom,
19764946562,8/27/2024 8:00,New York,Contract Issued ,,4776,,NYC Schools ,,IEP/SPED,Google Classroom,
19702703722,8/27/2024 8:00,New York,Contract Issued ,,16716,,NYC Schools ,,IEP/SPED,Google Classroom,
19576762725,8/27/2024 8:00,New York,Late Stage Meeting,,2388,,NYC Schools ,,IEP/SPED; CCR: Career &College,Google Classroom,
19442792800,8/27/2024 8:00,New York,Contract Issued ,,6000,,NYC Schools ,,IEP/SPED,Google Classroom,
19222678357,8/27/2024 8:00,Virginia,Contract Issued,,4776,,VA,,CCR: Career &College; Entrepreneurship,,
18921586245,8/27/2024 8:00,New Jersey,Late Stage Meeting,,,,"Northeast (NJ, RI, MA, NH, ME, VT, CT)",,,,
17732036430,8/27/2024 8:00,Virginia,Contract Issued,,1791,,VA,,Readiness; Entrepreneurship,,
17525448588,8/27/2024 8:00,Texas,Demo,,,,Texas,,CCR: Career &College,,
16490648840,8/27/2024 8:00,Texas,Late Stage Meeting,,,,Texas,,,,
21648810094,8/26/2024 16:14,,Demo,,,,"Pacific (CA, OR, WA)",,,,
19098034536,8/26/2024 15:52,New York,Contract Issued ,,7200,,Renewals ,,IEP/SPED; CCR: Career &College; Readiness; Entrepreneurship,Google Classroom,
21584800906,8/26/2024 15:29,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
21115167771,8/26/2024 13:19,,Demo,,,,"South West (NM, AZ, OK, KS)",,,,
18133648479,8/26/2024 13:14,Texas,Demo,,52000,,Texas,,CCR: Career &College,,
19068584793,8/26/2024 10:29,New York,Contract Signed,,400,,NYC Schools ,,Readiness,,
17214740665,8/26/2024 10:29,New York,Contract Signed,3/21/2024 10:34,1200,,NYC Schools ,,Readiness,,
18407271485,8/26/2024 10:22,New York,Contract Signed,4/12/2024 12:03,1990,,NYC Schools ,,IEP/SPED,,
18091252853,8/26/2024 10:19,North Carolina,Contract Signed ,6/4/2024 9:55,7164,,"South East (NC, SC, TN, MS, AL, GA, FL)",,CCR: Career &College; Entrepreneurship; Readiness; IEP/SPED,,
21071010984,8/26/2024 10:15,,Demo,,,,"Mid Atlantic (MD, DE, DC)",,,,
16907639451,8/26/2024 10:02,Texas,Contract Signed ,7/30/2024 14:41,1600,,Texas,,CCR: Career &College,,
20974320485,8/26/2024 9:46,,Demo,,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
20974329747,8/26/2024 9:35,,Demo,,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
